name;category;frequency
Mobile Comput;Персоналии;1
Варновский Н. П.;Персоналии;1
Захаров В. А.;Персоналии;1
Кузюрин Н. Н;Персоналии;1
Алексеев Д. В;Персоналии;1
В. М. Фомичев Рассмотрена;Персоналии;1
Чистяков;Персоналии;1
Михаил Сергеевич Крашенинников;Персоналии;1
Иван Иванович Лавреш;Персоналии;1
Владимир Александрович Устюгов;Персоналии;1
Lavresh I. I.;Персоналии;1
Устюгов В. А. Syktyvkarskogo;Персоналии;1
Гавердовский В. С.;Персоналии;1
Епифанцев Б. Н;Персоналии;1
Мухаметов М. Р.;Персоналии;1
Преображенский А. П.;Персоналии;1
Чопорова Е. И.;Персоналии;1
Preobrazhensky A. P., Choporova E. I.;Персоналии;1
Крашенинников Михаил Сергеевич / Mikhail S. Krasheninnikov;Персоналии;1
Лавреш Иван Иванович;Персоналии;1
Устюгов Владимир Александрович;Персоналии;1
Я.А. Мова;Персоналии;1
В.В. Путина;Персоналии;1
Бабкин;Персоналии;1
Буркальцева Д.Д.;Персоналии;1
Пшеничников В.В.;Персоналии;1
Тюлин А.С;Персоналии;1
Борискевич И.А.;Персоналии;1
С.В. Дьяченко;Персоналии;1
Е.Г. Бойко;Персоналии;1
Андреас М. Антонопулос;Персоналии;1
Мелани Свэн;Персоналии;1
Дайса;Персоналии;1
Майер Роберт Валерьевич;Персоналии;1
Г.Г. Москальчук;Персоналии;1
Н.А. Манаков;Персоналии;1
Д.В. Руднев;Персоналии;1
С.В. Друговейко-Должанская;Персоналии;1
А. И. Трубкина;Персоналии;1
Г.Г. Белоногов;Персоналии;1
Д.А. Куусела;Персоналии;1
Р.Г. Пиотровский;Персоналии;1
К.Б. Бектаев;Персоналии;1
А.А. Пиотровская;Персоналии;1
Т.Б. Радбиль;Персоналии;1
М.В. Маркина;Персоналии;1
Р.В. Майер;Персоналии;1
Ю.П. Калинин;Персоналии;1
А.А. Хорошилов;Персоналии;1
Бородащенко;Персоналии;1
Короленко;Персоналии;1
Москальчук;Персоналии;1
Пиотровский;Персоналии;1
Бектаев;Персоналии;1
Пиотровская;Персоналии;1
Маркина;Персоналии;1
М.В. Вероятностно-статистические;Персоналии;1
Руднев Д.В.;Персоналии;1
Аннагурбанова С.;Персоналии;1
Абдурасулов А.;Персоналии;1
Ахмедова М.;Персоналии;1
Сатоши Накамото;Персоналии;1
Альпина Паблишер;Персоналии;1
Артем Блокчейн;Персоналии;1
Артем Генкин;Персоналии;1
Альпина Диджитал;Персоналии;1
Тапскотт;Персоналии;1
Куликова М.Е.;Персоналии;1
Ряскина А.Д.;Персоналии;1
Кашеварова Наталия Александровна;Персоналии;1
Куликова Мария Евгеньевна;Персоналии;1
Ряскина Анастасия Дмитриевна;Персоналии;1
Куликова М.Е;Персоналии;1
Носирова З.А.;Персоналии;1
Криштаносова В.Б.;Персоналии;1
Тессоне Дж;Персоналии;1
Хян Т.Т.;Персоналии;1
Г.Л. Грей;Персоналии;1
М.А. Уддин;Персоналии;1
Коробейникова И.А.;Персоналии;1
Крохина М.О.;Персоналии;1
Чахкиева М.Т.;Персоналии;1
Семибратова И.В.;Персоналии;1
Сивлин Каур;Персоналии;1
Шитал Чатурведи;Персоналии;1
Аабха Шарма;Персоналии;1
Джаяпракаш Кар;Персоналии;1
Д.Т. Хоанг;Персоналии;1
Д.И. Ким;Персоналии;1
Чжан И.;Персоналии;1
Сяо-Хуэей Л.И.;Персоналии;1
Бардина А.П.;Персоналии;1
Новицкого А.В.;Персоналии;1
Шумилого Ю.Ю.;Персоналии;1
Ку Хе;Персоналии;1
Майнер;Персоналии;1
Травушкина А.А.;Персоналии;1
Щелокова А.Н.;Персоналии;1
Шиболденков В.А.;Персоналии;1
Юсуфова О.М;Персоналии;1
Дроговоз П.А.;Персоналии;1
Харин Н.И;Персоналии;1
Фомичев В.М.;Персоналии;1
Криштаносов В.Б. Блокчейн;Персоналии;1
Крохин М.О;Персоналии;1
Фомичев;Персоналии;1
Семибратов И.В.;Персоналии;1
Бардин;Персоналии;1
Новицкий А.В.;Персоналии;1
Шумилов Ю.Ю;Персоналии;1
Старикова И.С. Невзаимозаменяемый;Персоналии;1
Gray G.L.;Персоналии;1
Bardin A.P., Novitskiy A.V.;Персоналии;1
Kharin N.I.;Персоналии;1
Huynh T. T.;Персоналии;1
Nosirov Z. A.;Персоналии;1
Tessone C.J.;Персоналии;1
Travushkina A.A.;Персоналии;1
Kim D. I.;Персоналии;1
PoS;Программные продукты;12
PoW;Программные продукты;10
Bitcoin;Программные продукты;6
Ethereum;Программные продукты;5
PoA;Программные продукты;4
DPoS;Программные продукты;4
PBFT;Программные продукты;2
VS;Программные продукты;2
Hyperledger;Программные продукты;2
Fabric;Программные продукты;2
Cardano;Программные продукты;2
Международный университет гуманитарных наук и развития;Организации;3
Belgorod State Technological University;Организации;2
National Research University Higher School of Economics;Организации;2
Московский государственный университет имени М.В. Ломоносова;Организации;2
